Program Name,Level Of Government,Administering Agency,Delivery Agency,Brief Description,Major Eligibility Conditions,Other Eligibility Conditions,Show Name
Public Housing,Government of Nunavut,Nunavut Housing,Local Housing Organization,"The Public Housing Program is an income tested rental program which provides subsidized housing to tenants based on their income and ability to pay rent. As an income tested program, eligibility for Public Housing is based on the verification of income to meet the community Core Need Income Threshold. The NHC delivers the Public Housing Program in all 25 Nunavut communities through close cooperation with local partners. To ensure that allocation of public housing units is done fairly across the territory; Local Housing Organizations use a point rating system to determine need. Individuals and families interested in applying for public housing should contact their local housing organization to see if they are eligible, and fill out an application. Nunavut is experiencing a housing shortage, and almost all communities have a significant wait-list for public housing allocation.",Homeless/home insecure,,TRUE
Senior and Persons with Disabilities Preventative Maintenance Program (SPDPMP),Government of Nunavut,Nunavut Housing,Nunavut Housing,"The Seniors (60+) and Persons with Disabilities Preventative Maintenance Program (SPDPMP) assists eligible homeowners for the purpose of carrying out preventative maintenance and minor repairs. NHC will provide a contribution in the form of a grant to cover materials, freight and labour, to a maximum amount of $3,000 annually. The NHC will arrange for preventative maintenance and minor repairs on behalf of eligible homeowners in order to:
Ensure the client’s continued safe occupancy
Extend the service life of building systems
Reduce the number of emergency repairs required due to lack of preventative maintenance
Assist seniors and persons with a disability in overcoming obstacles to continued homeownership",Senior AND Homeowner,"60 years or older or person with disability. No rental or mortgage arrears with any LHO. Title to property. Home must be insured and be the principal residence of the applicant. Eligible repairs: preventative maintenance such as servicing of air furnances, or minor repairs such as brokn window glass.",TRUE
Senior Citizen Supplementary Benefit,Government of Nunavut,Department of Family Services ,Canada Revenue Agency,The Senior Citizen Supplementary Benefit (SCSB) is a monthly payment of $300.00 made to low-income seniors in Nunavut. Added to OAS payment.,Senior AND Low Income,60 or older. Receiving federal GIS or Allowance.,TRUE
Senior Citizens and People with Disabilities Property Tax Relief Program,Government of Nunavut,Department of Finance,Department of Finance,People with disabilities and senior citizens are eligible to apply for property tax relief in each taxation year to be considered exempt.,Senior AND Homeowner,65 years or older OR a person with a disability,TRUE
Senior Citizens' Home Repair Program (SCHRP),Government of Nunavut,Nunavut Housing,Nunavut Housing,"The Senior Citizen Home Repair Program (SCHRP) provides assistance to senior citizens (60+) throughout Nunavut who need to repair and/or adapt their homes in order to ensure their continued safe occupancy, and/or to assist with difficulties they encounter with daily living activities. The assistance comes in the form of a grant, to a maximum amount of $15,000, plus freight costs.",Senior AND Homeowner,"60 years or older. No rental or mortgage arrears with any LHO. Title to property. House at least 5 years old, insured, and prinicipal residence of applicant. Eligible repair: health/safety, adaptations for daily living, energy efficiency, other.",TRUE
Senior Fuel Subsidy,Government of Nunavut,Department of Family Services ,Income Assistance Regional Office,"The Seniors Fuel subsidy program offsets the high cost of home heating fuel to those aged 60 and over who own their own homes. Eligible homeowners are reimbursed for the cost of heating fuel, up to 3,500 litres. Seniors with a total net income up to and including $75,000 may be eligible for a 100 percent fuel subsidy. Seniors with a total net income greater than $75,000 and less than or equal to $100,000 may be eligible for a 50 percent fuel subsidy. Those receiving income assistance are ineligible.",Senior AND Homeowner,60 or older. Own and live in home. NOT in receipt of social assistance.,TRUE
Seniors and Persons with Disabilities Housing Options Program (SPDHOP),Government of Nunavut,Nunavut Housing,Nunavut Housing,"The Seniors and Persons with Disabilities Housing Options Program allows Elders and Persons with Disabilities for whom owning and maintaining a home has become burdensome, to transfer their home to someone in public housing (or on the public housing waitlist) that can afford the ongoing costs of homeownership. When no transferee can be identified, clients may sell their home to the NHC.",Senior AND Homeowner,60 or older or recieivng a disability benefit. Insufficient financial resources to afford the ongoing and rising cost of operating and maintaining their home. Title to property. Principal residence of applicant (with exceptions).,TRUE
Summer Employment for Nunavut Students (SENS),Government of Nunavut,Department of Family Services ,Career Development ,"The program targets employers in the private and non-governmental sectors, as well as hamlets, who want to hire youth for the summer. The program provides 50 per cent of the student’s hourly wage, up to $10 per hour. All students receive on-the-job training and mentorship to prepare them for future careers.",,"Employers in the private and non-governmental sectors, as well as hamlets, who want to hire youth for the summer.",TRUE
Targeted Labour Market Programs/Tageted Training Intiatives (LMDA-funded),Government of Nunavut,Department of Family Services ,Career Development ,"The Targeted Labour Market program provides funding of up to one year in duration to eligible employers, institutions or training providers to enable Nunavut-based education and/or training for occupations or skills that either are or will be in demand in the near future.",,"Organization that provides training in high-demand skills for PwD's, youth at risk, persons with barriers to employment, or persons who are unemployed, underemployed or persistently unemployed.",TRUE
Tenant To Owner Program (TOP),Government of Nunavut,Nunavut Housing,Nunavut Housing,The objective of the Tenant to Owner Program (TOP) is to assist tenants in NHC public housing with an opportunity to become homeowners. The TOP allows public housing tenants who are in good standing with the Local Housing Organization (LHO) to purchase a suitable public housing unit that the NHC and the LHO have approved for sale.,,19 years or older. Current tenant of NHC. Sufficient income to pay all ongoing mortgage/loan and operating costs of the unit. No rental or mortgage arrears with any LHO. Principal residence of applicant. Approval of NHC for sale. Unit must be at least 15 years old and have its own meter.,TRUE
Territorial Workers Supplement,Government of Nunavut,Department of Family Services ,Canada Revenue Agency,"Families who have earned income of more than $3,750 and who have children under 18 years of age, may also get the territorial workers’ supplement of up to: $22.91 per month for one child, $29.16 per month for two or more children. These benefits are combined with the Canada child benefit into one monthly payment.",Dependent child(ren),"Child under the age of 18. Earned income of at least $3,750.",TRUE
Training on the Job (LMDA-funded),Government of Nunavut,Department of Family Services ,Career Development ,"The Training on the Job program provides a wage subsidy to small and medium sized employers to help them hire and train unemployed or under-skilled workers. The training, which can be up to 52 weeks in length, may be delivered on the job site, at an institution or training provider or as a combination of both. The expectation is that the employer hires the trainee at the end of the training period.",N/A,,TRUE
Young Parents Stay Learning,Government of Nunavut,Department of Education,Department of Education,The Young Parents Stay Learning Program is a daycare subsidy program to help young parents with the cost of childcare while the parent attends school.,Dependent child(ren),Have a child who needs care. Enrolled in a full-time program of study for middle or high school within Nunavut or under the age of 18 years of age and enrolled in a full-time post-secondary program of study within Nunavut. Available child care.,TRUE
Community Hunt Program,Nunavut Tunngavik Inc.,Nunavut Tunngavik Inc.,NHSP,"The Community Hunt Program provides funding and assistance to organizations or groups interested in participating in community hunts. Eligible organizations include incorporated entities such as
Hamlets, HTOs, RWOs and not-for-profit organizations. Unincorporated and informal groups of hunters are also eligible. Businesses will not be eligible to receive funding under this program. Funding amounts are based on community size, nature of the proposed hunt, and number of harvesters involved.",,"Incorporporated entity or unincorporated group of at least 5 people. Commit to distribute at least 50% of the catch to the community. Be able obtain a harvesting permit, tag or appropriate allocation, if required, for the proposed species to be harvested.",TRUE
Harvesting Equipment Program,Nunavut Tunngavik Inc.,Nunavut Tunngavik Inc.,NHSP,"The Harvesting Equipment Program provides Inuit in Nunavut in need with funding assistance to make harvesting equipment and tools more affordable, so that they can participate in traditional harvesting activities.",,"16 years or older. Beneficiary of the Nunavut Land Claims Agreement. Have not already received more than $1,000 in the fiscal year from NHSP.",TRUE
,Government of Nunavut,Workers Safey and Compensation Committee,,,,,TRUE
