Full Program Name,Program,Program Type/Target,Level of Government,Cash to In-Kind Spectrum,Ordering,Description,Eligbility,Conditions,ChildPrograms,Expenditures (2018/19),Number of Recipients (2018/19),Cases (July 2019),Expenditures (2017/18),Number of Eligible Children (March 2018),Base Program Funding (2018/19),Recipients (2017),Expenditures (2017),Budget (2019/20),Expenditures (2019 YTD),Recipient (2019 YTD),Recipients (2017/18),Recipients (2018),Expenditures (2018),Expenditures (2016),Recipients (2016/17)
Victim Travel Fund,Victim Travel Fund,Financial Supports: Non-Work,Government of B.C.,Cash Geared to Cost,74,"You may qualify for help to travel to interviews, hearings and other justice-related proceedings. The Victim Travel Fund provides funds up to $3,000.00 for a family or victim to attend justice-related proceedings in B.C. Eligible expenses may include meals, accommodation and the most cost effective form of travel",Victim of crime,,,,,,,,,,,,,,,,,,
Co-op Share Purchase Supplement,Co-op Share Supp.,Housing,Government of B.C.,Cash Geared to Cost,75,"A lump sum supplement to assist with the cost of purchasing shares in a co-operative housing corporation. Approved recipients receive the lesser of $850 or 50% of the cost of co-op membership shares. This supplement is repayable. Clients can choose immediate repayment at $10 a month, or delayed repayment.",Must be in receipt of IA or DA for at least three previous calendar months,,,,,,$0.01M,,,,,,,,13 issued,,,,
"Moving, Transportation and Living Costs",Moving & Transport Supp.,Housing,Government of B.C.,Cash Geared to Cost,76,"To cover actual necessary moving, transportation, and living expenses when a recipient is required to move for specified reasons. Assistance may also be provided when a person is required to attend a child protection hearing or court hearing for family maintenance order.","IA, DA, or HA recipient",,,,,,$0.09M,,,,,,,,"1,738 issued on 1,631 cases",,,,
Pre-natal Shelter Supplement,Pre-natal Shelter Supp.,Housing,Government of B.C.,Cash Geared to Cost,77,"To assist single, pregnant IA and DA recipients in meeting extra costs associated with securing or maintaining stable accommodation prior to the birth of their first child. Eligible recipients receive up to $195/month for a maximum of 8 months.",Pregnant women with no toher dependent children and no spouse,,,,,,$0.25M,,,,,,,,"1,691 issued on 495 cases",,,,
Security Deposits,Security Deposit,Housing,Government of B.C.,Cash Geared to Cost,78,To assist with the cost of securing rental accommodation. This is a repayable supplement. Repayment is made by reducing monthly assistance cheques by $20. Eligible recipients receive half of the actual market rent.,"IA, DA, or HA recipient",,,,,,$7.3M,,,,,,,,"22,475 issued on 19,961 cases",,,,
Utility Security Deposits,Utility Deposit,Housing,Government of B.C.,Cash Geared to Cost,79,To assist with the cost of securing service for electricity or natural gas.This is a repayable supplement. Payment recovered through monthly $20 reduction in assistance payment. The amount of the supplement is the minimum amount required by the utility provider as a security deposit. ,"IA, DA, or HA recipient",,,,,,$0.3M,,,,,,,,962 issued on 909 cases,,,,
Rental Assistance Program,RAP,Housing,Government of B.C.,Cash Geared to Cost,80,The Rental Assistance Program provides eligible low-income working families with cash assistance to help with their monthly rent payments.,"Households who are employed and low-income with dependent child(ren), paying more than 30% of gross monthly income to rent",Means-tested,,$50.4M,"9,276 units",,,,,,,"$64.3M over 10,900 units",,,,,,,
Shelter Aid for Elderly Renters,SAFER,Housing,Government of B.C.,Cash Geared to Cost,81,The Shelter Aid for Elderly Renters (SAFER) program helps make rents affordable for BC seniors with low to moderate incomes. SAFER provides monthly cash payments to subsidize rents for eligible BC residents who are age 60 or over and who pay rent for their homes,"Senior 60+ years, low income, and paying more than 30% of gross monthly income to rent",Income-tested,,$59.7M,"24,218 units",,,,,,,"$76.7M over 25,400 units",,,,,,,
Guide Dog and Service Dog Supplement,Guide Dog Supp.,Medical/Health,Government of B.C.,Cash Geared to Cost,82,"Supplement is provided to assist with the monthly maintenance of a certified guide dog team, service dog team and/or aretired guide or service dog team. Approveed recipients receive $95/month.","IA, DA, or HA recipient",,,,,,$0.13M,,,,,,,,"1,379 issued on 135 cases",,,,
Natal Supplement,Natal Supp. ,Medical/Health,Government of B.C.,Cash Geared to Cost,83,"Provided to pregnant recipients and to family units with a dependent child under the age of seven months. Supplement is intended to assist in meeting extra costs associated with prenatal and postnatal expenses. Eligible recipients must provide written confirmation of pregnancy and expected delivery date from a medical practitioner, nurse practitioner or midwife. Eligible recipients recieve up to $45/month for a single child and $90/month for multiple children.","IA, DA, or HA recipient AND pregnant women or women with child under 7 months.",,,,,,$0.8M,,,,,,,,"3,226 clients",,,,
Diet Supplements,Diet Supp.,Medical/Health,Government of B.C.,Cash Geared to Cost,84,"To assist in meeting costs of a therapeutic diet that is required as result of specific medical condition or dietary need (i.e. reduced sodium diet - $10/month, diabetes - $35/month, kidney dialysis - $40/month, gluten-free - $40/month, dysphagia - $40/month, cystic fibrosis - $50/month, ketogenic - $40/month, high protein diet for medical reasons - $40/month, and low phenylalanine diet - $40/month). Persons already receiving another nutritional-related supplement are not eligible for diet supplements.","IA, DA, or HA recipient. Must providedwritten documentation of need from medical practitioner, nurse practitioner, or registered dietician. ",,,,,,$6.2M,,,,,,,,"163,057 issued on 15,769 cases",,,,
Monthly Nutritional Supplement,Nutrition Supp. ,Medical/Health,Government of B.C.,Cash Geared to Cost,85,"Nutritional supplement to prevent imminent danger to the person’s life by providing essential, specified items to supplement regular nutritional needs. Eligible recipient receive up to $165/month for dietary items and $40/month for vitamins and minerals. ","DA recipients only who have a severe medical condition and who have a severe medical condition causing a chronic, progressive deterioration of health with symptoms of wasting and to alleviate these symptoms requires one or both of the following items: Additional nutritional items that are part of a caloric supplementation to a regular dietary intake and/or vitamins and minerals and failure to obtain these tems will result in the imminent danger to the person’s life.",,,,,,$19.9M,,,,,,,,"10,079 clients",,,,
Medical Transportation Supplement,Med. Transport,Medical/Health,Government of B.C.,Cash Geared to Cost,86,Medical transportation supplements to meet extraordinary transportation costs.,"Recipients of IA, DA or HA who are either PPMB or PWD designated and their dependents and have no other resources to meet that need.",,,,,,$3.24M,,,,,,,,"18,745 issued on 4,775 cases",,,,
Basic Personal Tax Credit,Basic Person. Tax Cred.,Financial Supports: Non-Work,Government of B.C.,Non-refundable tax credit,87,"The basic personal tax credit is a non-refundable tax credit every Canadian resident is entitled to claim on his or her income tax return. It is the amount of income that can be earned before paying any federal income tax multiplied by the tax rate for the lowest tax bracket. This amount changes year to year in order to keep up with inflation. In 2019, it is $12,069 x 15% = $1,810.",,Must file taxes,,,,,,,,,,,,,,,,,
BC Tax Reduction Credit,Tax Reduction Cred.,Financial Supports: Non-Work,Government of B.C.,Non-refundable tax credit,88,"The B.C. tax reduction credit is a non-refundable tax credit for individuals who have a net income below a certain amount. The credit is reduced by a percentage of an individual's net income over the threshold amount. For the 2018 tax year, the net income threshold is $20,144 and the reduction factor is 3.56%.",Low Income,"Income-tested, must file taxes",,,,,,,,,,,,,,,,$152M,
BC Child Opportunity Benefit,Child Opportunity,Children and Family,Government of B.C.,Refundable tax credit,89,The B.C. Child Opportunity Benefit provides a tax-free monthly payment to families with children under the age of 18. It will be implmented in October 2020.,Dependent child(ren),Income-tested,,,,,,,,,,,,,,,,,
BC Climate Action Tax Credit,CATC,Financial Supports: Non-Work,Government of B.C.,Refundable tax credit,90,The BC climate action tax credit helps offset the impact of the carbon taxes paid by individuals or families. The amount of the credit depends upon the family size and adjusted family net income.The credit is combined with the federal goods and services tax/ harmonized sales tax (GST/HST) credit into one quarterly payment,Low Income,Income-tested,,,,,,,,,,,,,,,,$195M,
BC Sales Tax Credit,Sales Tax Cred.,Financial Supports: Non-Work,Government of B.C.,Refundable tax credit,91,The Sales Tax Credit is a program designed to offset the cost of sales tax for low-income taxpayers and their families residing in BC as of December 31st of the tax year,Low Income,"Income-tested, must file taxes plus the additional form",,,,,,,,,,,,,,,,$45M,
BC Home Renovation Tax Credit,Home Renovation,Housing,Government of B.C.,Refundable tax credit,92,The Home Renovation Tax Credit for Seniors and Persons with Disabilities assists eligible individuals 65 and over and persons with disabilities with the cost of certain permanent home renovations to improve accessibility or be more functional or mobile at home,Person with disabilities eligible for the Disability Tax Credit or seniors,,,,,,,,,,,,,,,,,212861,
School Start-up Supplement,School Start-up Supp.,Children and Family,Government of B.C.,Pure Cash Transfer,93,To assist with extra costs associated with schooling for a person under 19 years of age. Automatically paid every August to families with children under 19 years of age. Families with children ages 5 - 11 receive $100 and families with children 12+ recieve $175.,Dependent child(ren),,,,,,$3.4M,,,,,,,,"16,707 issued on 16,614 cases",,,,
Temporary Child Benefits Top-Up Supplement,Temp. Child Ben. Top-up,Children and Family,Government of B.C.,Pure Cash Transfer,94,Provided in specific circumstances when families are temporarily without the Federal Canada Child Benefit (CCB),Dependent child(ren),,,,,,included under Automatic Child Benefit,,,,,,,,included under Automatic Child Benefit,,,,
Automatic Child Benefits Top-Up Supplement,Auto. Child Ben. Top-up,Children and Family,Government of B.C.,Pure Cash Transfer,95,"Provided in specific circumstances when families are receiving a less than $203.33/month for 1 child, $179/month for the second child, and $170.25/month for each additional child. Designed to support BCEA families with dependent children when a family unit’s CCB payment is less than the child benefits top-up supplement",Dependent child(ren),,,,,,$5.22M,,,,,,,,"26,722 issued over 5,665 cases",,,,
BC Education and Training Savings Grant ,Education Savings,"Education, Training, and Employment",Government of B.C.,Pure Cash Transfer,96,"The BC Government will contribute $1,200 to eligible children (who are beneficiaries of an RESP) through the BC Training and Education Savings Grant (BCTESG). The BCTESG requires no matching or additional contributions",Child(ren),Must have an RESP ,,,,,,,,,,,,,,,,,
Aboriginal Emergency Assistance Fund (post-secondary),AEAF,"Education, Training, and Employment",Government of B.C.,Pure Cash Transfer,97,Emergency financial assistance is provided by public post-secondary institutions to assist students who have urgent unforeseen financial needs that may prevent them from finishing their studies; students to contact the Aboriginal Student Services at their institution. Subject to available funding.,"First nations or Aboriginal or Inuit experiencing a short-term, unforeseen financial crisis",,,,,,,,,,,,,,,,,,
Christmas Supplement,X-mas Supp.,Financial Supports: Non-Work,Government of B.C.,Pure Cash Transfer,98,"Annual supplement to assist with extra expenses at Christmas. Automatically included in December assistance payment. Single persons receive $35, childless couples recieves $70, and families with children receive $70 plus $10 for each dependent child.","IA, DA, or HA recipient",,,,,,$6.31M,,,,,,,,"144,415 cases",,,,
Crisis Supplement,Crisis Supp.,Financial Supports: Non-Work,Government of B.C.,Pure Cash Transfer,99,"A crisis supplement may be available to recipients who face unexpected, emergency needs in the form of a one-time payment to prevent imminent danger to theirphysical health or the removal of a child. Crisis Supplements are provided for: food, clothing, shelter, essential utilities, or emergency home repairs. A crisis supplement may be provided for an emergency/disaster, when an identified local, regional, or provincial emergency or disaster occurs and the client meets basic crisis supplement requirements policy and all available resources have been exhausted. Up to: $40/month/person for food, $100/month/person for clothing, and the actual cost of the maximum shelter allowance.","IA, DA, or HA recipient",,,,,,$5M,,,,,,,,"44,015 issued on 23,405 cases",,,,
Disability Assistance,DA,Financial Supports: Non-Work,Government of B.C.,Pure Cash Transfer,100,"The BC Employment and Assistance Program for Persons with Disabilities provides disability assistance and supplements to provide greater independence for people with disabilities, including security of income, enhanced well-being, and participation in the community",Persons with disabilities and Low Income,Means-tested,,"$1,416M in Entitlements (program admin. and appeal costs under IA)",,"190,227",,,,,,"$1,500M in Entitlements + 1,065M to CommunityLiving",,,,,,,
Hardship Assistance,HA,Financial Supports: Non-Work,Government of B.C.,Pure Cash Transfer,101,"Hardship assistance is intended to meet the essential needs of persons or families who are not eligible for Income Assistance or Disability Assistance for a number of reasons specified by regulation. Hardship assistance is not an entitlement, but may be provided at the discretion of the Minister according to legislative and regulatory criteria.  It is provided on a temporary basis for only one month at a time.  Eligibility for hardship assistance must be re-established each month.","low-income, immediate need, and not eligibile for IA or DA because: waiting for EI or other income, assets or income in excess, identity not established, SIN required, or strike/lockout.",Means-tested,,,,Included under IA,Included under IA,,,,,,,,,,,,
Income Assistance,IA,Financial Supports: Non-Work,Government of B.C.,Pure Cash Transfer,102,The BC Employment and Assistance (BCEA) program is an income and asset tested program that provides income assistance and employment supports to people in need who have no other resources. The program is intended to help move people from income assistance to sustainable employment and to provide income assistance to those who are unable to fully participate in the workforce.,Low Income,Means-tested," <h6>Programs within IA:</h6><ol style=""margin-top: -12px;""> <li>Expected-to-Work: 3 week work search,and financially independent for at least consecutive 2 years prior to;</li> <li>Not Expected to Work: PWD, single parent with child under 3, fleeing abuse, or cannot legally work in Canada;</li> <li>Persons with Persistent and Multiple Barriers to Work: health condition that impede's employment and additional barrier to employment such as homelessness, fleeing abuse, former child in care, or criminal record ;</li> <li> Medical Condition: short-term medical condition</li> </ol>",Total: $551.5M. Breakdown: <ul><li>$391M in Entitlements</li> <li>$146M for Management</li><li>$1.8M to Appeal Tribunal</li><li>$12.7M for Executive Services</li></ul>,,"44,059",,,,,,$425M in Entitlements + $156M in Management + $1.8M to Appeal Tribunal + $12.9M for Executive Services,,,,,,,
Seniors Supplement,Seniors Supp.,Financial Supports: Non-Work,Government of B.C.,Pure Cash Transfer,103,The Senior's Supplement is a provincial top-up to federal OAS/GIS. The Senior's Supplement ensures a conditionally guaranteed minimum income level for residents of BC and is paid to low-income residents of BC who are 65 years of age and older and who are receiving OAS/GIS or the federal Allowance.,Low-income seniors 65 years+ receiving OAS/GIS or the Allowance,Income-tested,,,"56,021",,$25.7M,,,,,,,,,,,,
WorkSafe BC: Permanent Disability Benefit ,Perm Dis. Benefit,Financial Supports: Work-Related,Government of B.C.,Pure Cash Transfer,104,"If an injury at work results in a disability, and that disability is likely to impair future earning capacity, the injured worker may be eligible for a permanent disability award. The amount of the award depends on the circumstances of the claim.",Injured at work resulting in a disability that impairs future earnings.,,,,,,,,,"5,461 (new claims)","$616,664,347 (new claims)",,,,,,,,
WorkSafe BC: Wage loss benefits,Wage Loss Benefits,Financial Supports: Work-Related,Government of B.C.,Pure Cash Transfer,105,Wage-loss benefits compensate workers who lose pay due to a work-related injury or illness. Benefits continue until the worker is able to participate in modified work or return to usual duties.,Injured at work.,,,,,,,,,"48,771 (new claims)","$447,039,069 (new claims)",,,,,,,,
Apprenticeship Completion Grant (ACG),ACG,"Education, Training, and Employment",Government of Canada,Pure Cash Transfer,106,Taxable cash grant for registered apprentices who successfully complete their program,Completion of journeyman certification,,,,,,,,,,,,,,,,,,
Apprenticeship Incentive Grant (AIG),AIG ,"Education, Training, and Employment",Government of Canada,Pure Cash Transfer,107,The Apprenticeship Incentive Grant (AIG) helps you pay for expenses while you train as an apprentice in a designated Red Seal trade.,Enrolled in apprenticeship program,,,,,,,,,,,,,,,,,,
Apprenticeship Incentive Grant for Women,AIG-W,"Education, Training, and Employment",Government of Canada,Pure Cash Transfer,108,The Apprenticeship Incentive Grant for Women (AIG-W) helps you pay for expenses while you train as an apprentice in a Designated Red Seal Trade where women are underrepresented.,Women AND Enrolled in apprenticeship program,,,,,,,,,,,,,,,,,,
Canada Education Savings Grant ,Ed. Savings Grant ,"Education, Training, and Employment",Government of Canada,Pure Cash Transfer,109,The Canada Education Savings Grant (CESG) is money that the Government adds to a Registered Education Savings Plan (RESP). This money helps to pay the costs of a child’s full- or part-time studies after high school ,Dependent child(ren) and an RESP account,,,,,,,,,,,,,,,,,,
Canada Education Savings Grant addition,Ed. Savings Grant addition,"Education, Training, and Employment",Government of Canada,Pure Cash Transfer,110,The Additional amount of CESG is available to eligible children from middle- and low-income families. ,Dependent child(ren) and an RESP account,Income-tested,,,,,,,,,,,,,,,,,
Canada Learning Bond,Learning Bond,"Education, Training, and Employment",Government of Canada,Pure Cash Transfer,111,The Canada Learning Bond (CLB) is money that the Government adds to a Registered Education Savings Plan (RESP) for children from low-income families. This money helps to pay the costs of a child’s full- or part-time studies after high school ,Dependent child(ren) and low-income and an RESP account,Income-tested,,,,,,,,,,,,,,,,,
Canadian Forces Disability Benefits,Disability Benefits,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,112,"A disability benefit is a tax-free, financial payment to support your well-being. The amount you receive depends on the degree to which your condition is related to your service (entitlement) and the severity of your condition, including its impact on your quality of life (assessment).",Veteran or Canadian Armed Forces,,,,,,,,,,,,,,,,,,
Canadian Forces Income Support,Canada Forces Income Support,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,113,"The Canadian Forces Income Support is a tax-free monthly benefit. It helps low-income CAF Veterans who no longer qualify for the Earnings Loss Benefit, after participating in the Rehabilitation program.","Veteran or Canadian Armed Forces, and Low Income",Income-tested,,,,,,,,,,,,,,,,,
Disability Savings Bonds,Disability Savings Bonds,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,114,Individuals with an RDSP can apply for a Canada Disability Savings Grant or Bond. The Canada Disability Savings Bond is a government contribution to the Registered Disability Savings Plans (RDSPs) of low and modest income Canadians.,Persons with disabilities who qualify for the Disability Credit AND Low Income AND an RDSP ,Income-tested,,,,,,,,,,,,,,,,,
Disability Savings Grant,Disability Savings Grant,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,115,Individuals with an RDSP can apply for a Canada Disability Savings Grant or Bond. The Canada Disability Savings Grant is a matching grant of up to 300% depending on the beneficiary's family income and contribution,Persons with disabilities who qualify for the Disability Credit AND an RDSP,Income-tested,,,,,,,,,,,,,,,,,
Employment Insurance (EI): regular benefits,EI: regular benefits,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,116,"Employment Insurance (EI) provides regular benefits to individuals who lose their jobs through no fault of their own (for example, due to shortage of work, seasonal or mass lay-offs) and are available for and able to work, but can't find a job.","Employed in insurable employment, have worked the required amount of insurable employment hours, and lost job through no fault of own ",Income-tested,,,,,,,,,,,,,,,$985M,,
Employment Insurance: caregiving benefits (adult and/or child(ren)),EI: caregiving,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,117,"Through Employment Insurance, you could receive financial assistance of up to 55% of your earnings, to a maximum of $562 a week. These benefits will help you take time away from work to provide care or support to a critically ill or injured person or someone needing end-of-life care.","Family member is critically ill, have worked at least 600 insurable employment hours in the last 52 weeks, and employment earnings have decreased by more than 40% because of caregiving",Income-tested,,,,,,,,,,,,,,,$17M,,
Employment Insurance: family supplement,EI: family supp.,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,118,"If it is determined that your net family income is $25,921 or less per year, that you have children, and that you or your spouse receives the Canada Child Benefit, you are considered a member of a low-income family and may be eligible to receive the EI Family Supplement","Eligible for EI: regular benefit AND have dependent child(ren) AND net family income does not exceed $25,921/year",Income-tested,,,,,,,,,,,,,,,Included in EI: regular benefit,,
Employment Insurance: maternity and parental,EI: maternity & parental,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,119,"Employment Insurance maternity and parental benefits provide financial assistance to people who are away from work because they're pregnant or have recently given birth, or parents who are away from work to care for their newborn or newly adopted child","(Pregnant, or recently gave birth, or are a parent of a newborn, or recently adopted a child) AND worked 600 insurable employment hours in the last 52 weeks AND earnings from work have decreased by more than 40% because of child",Income-tested,,,,,,,,,,,,,,,$620M (includes regular and extended benefit),,
Employment Insurance: sickness,EI: sickness,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,120,"The Employment Insurance (EI) program offers temporary financial assistance to unemployed workers. This assistance includes providing sickness benefits to people unable to work because of sickness, injury, or quarantine.","Unable to work because of short-term sickness or injury, AND have worked at least 600 insurable employment hours in the last 52 weeks",Income-tested,,,,,,,,,,,,,,,$237.7M,,
Veteran Exceptional Incapacity Allowance,Veteran Incapacity Allowance,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,121,The Exceptional Incapacity Allowance is a tax-free monthly payment that recognizes that your serious illness or injury has a significant effect on your quality of life.,Veteran and is a person with a disability,,,,,,,,,,,,,,,,,,
Veteran's Detention Benefit,Veteran Detention Benefit,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,122,"The Detention Benefit is a tax-free lump-sum payment for Veterans or CAF members who were detained by an enemy, opposing force or terrorist group while serving in the Canadian Armed Forces.","Detained or evaded capture by an enemy, opposing force, or terroist group (after Apr. 2006)",,,,,,,,,,,,,,,,,,
War Veteran's Prisoner of War Compensation,War Vet POW Comp.,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,123,"Prisoner of War Compensation is a tax-free benefit for Veterans of the Second World War and the Korean War, who were detained or evaded capture for more than 30 days.",Detained/POW during WWII or Korean war,,,,,,,,,,,,,,,,,,
War Veterans Allowance,War Vet Allowance,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,124," The War Veterans Allowance (WVA) is a tax-free, monthly benefit to help low-income war Veterans and their dependents or their survivors.",Low-income veteran of WWII or Korean war,Income-tested,,,,,,,,,,,,,,,,,
War Veterans Death Benefit,War Vet Death Benefit,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,125,The Death Benefit is paid to a spouse or common-law partner and the dependent children of a Canadian Armed Forces member who died as a result of a service-related injury or illness.,Survivor of veteran or WWII or Korean war,,,,,,,,,,,,,,,,,,
Guaranteed Income Supplement,GIS,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,126,The Guaranteed Income Supplement (GIS) provides a monthly non-taxable benefit to Old Age Security (OAS) pension recipients who have a low income and are living in Canada,Low income senior,Income-tested,,,,,,,,,,,,,,"268,909","$1,730M",,
Old Age Security Pension,OAS,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,127,The Old Age Security (OAS) pension is a monthly payment available to seniors aged 65 and older who meet the Canadian legal status and residence requirements,Senior,Income-tested,,,,,,,,,,,,,,"866,474","$5,646M",,
Allowance for People Aged 60 to 64,Allowance Aged 60 to 64,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,128,The Allowance is a benefit available to low-income individuals aged 60 to 64 who are the spouse or common-law partner of a Guaranteed Income Supplement (GIS) recipient.,,Income-tested,,,,,,,,,,,,,,"4,637",$2.5M,,
Allowance for the Survivor,Allowance: Survivor,Financial Supports: Non-Work,Government of Canada,Pure Cash Transfer,129,"The Allowance for the Survivor is a benefit available to people aged 60 to 64 who have a low income, who are living in Canada, and whose spouse or common-law partner has died.",,Income-tested,,,,,,,,,,,,,,"2,788",$1.97M,,
CPP: Children's Benefits,CPP: Children's ,Financial Supports: Work-Related,Government of Canada,Pure Cash Transfer,130,The Canada Pension Plan (CPP) children's benefits provide monthly payments to the dependent children of disabled or deceased CPP contributors.,Dependent child(ren) AND (deceased contributor OR disabled contributor receiving CPP: Disability Benefit),,,,,,,,,,,,,,,"23,989",$83.5M,,
CPP: Death Benefit,CPP: Death,Financial Supports: Work-Related,Government of Canada,Pure Cash Transfer,131,"The Canada Pension Plan (CPP) death benefit is a one-time, lump-sum payment to the estate on behalf of a deceased CPP contributor.",Deceased contributor,,,,,,,,,,,,,,,"3,018",$64.4M,,
CPP: Disability Benefit,CPP: Disability ,Financial Supports: Work-Related,Government of Canada,Pure Cash Transfer,132,Canada Pension Plan (CPP) provides disability benefits (disability pension and post-retirement disability benefit) to people who have made enough contributions to the CPP and who are disabled and cannot work at any job on a regular basis. ,Person with long-term disability who cannot work any job on a regular basis AND made enough contributions to CPP during employment,,,,,,,,,,,,,,,"60,147",$757.9M,,
CPP: Retirement Pension,CPP: Retirement,Financial Supports: Work-Related,Government of Canada,Pure Cash Transfer,133,"The Canada Pension Plan (CPP) retirement pension provides a monthly benefit to eligible applicants. Individuals can apply for and receive a full CPP retirement pension at age 65 or receive it as early as age 60 with a reduction, or as late as age 70 with an increase",At least 60 years old AND made at least one valid contribution to CPP from employment in Canada,,,,,,,,,,,,,,,947350,"$6,437.6M",,
CPP: Survivor's Pension,CPP: Survivor's ,Financial Supports: Work-Related,Government of Canada,Pure Cash Transfer,134,"The Canada Pension Plan (CPP) survivor's pension is paid to the person who, at the time of death, is the legal spouse or common-law partner of the deceased contributor.",Spouse/common law of deceased contributor,,,,,,,,,,,,,,,185127,$740.5M,,
Canadian Benefit for Parents of Young Victims of Crime,Victims of Crime,Financial Supports: Work-Related,Government of Canada,Pure Cash Transfer,135,"Parents or legal guardians who have taken time away from work and suffered a loss of income to cope with the death or disappearance of their child or children may be eligible for federal income support of $4,50 per week.","Employed, and reduction in employment earnings, and child was a victim of a crime",,,,,,,,,,,,,,,,,,
Canadian Forces Income Replacement Benefit,Income Replacement,Financial Supports: Work-Related,Government of Canada,Pure Cash Transfer,136,The Income Replacement Benefit provides income assistance to maintain income while taking part in the VAC rehabilitation program.,"Veteran or Canadian Armed Forces, and diminished or no earnings",Income-tested,,,,,,,,,,,,,,,,,
Federal Worker's Comp.,Federal Worker's Comp.,Financial Supports: Work-Related,Government of Canada,Pure Cash Transfer,137,The Government Employees Compensation Act (GECA) provides compensation to federal government employees who are injured while on the job or become ill because of their work,"Injured at work, and federal employee.",,,,,,,,,,,,,,,,,,
Canada Child Benefit,CCB,Children and Family,Government of Canada,Refundable tax credit,138,The Canada child benefit (CCB) is a tax free monthly payment made to eligible families to help them with the cost of raising children under 18 years of age.,Dependent child(ren),"Income-tested, must file taxes",,,,,"$2,689M",,,,,,,,"442,610",,,,
Child Disability Benefit,Child Dis. Benefit,Children and Family,Government of Canada,Refundable tax credit,139,The child disability benefit is a tax-free monthly payment made to families who care for a child under age 18 with a severe and prolonged impairment in physical or mental functions.,"Dependent child(ren) with a disability, and eligible for the Disability Tax Credit and the Canada Child Benefit",Income-tested,,,,,,,,,,,,,,,,,
GST/HST Credit,GST/HST Cred.,Financial Supports: Non-Work,Government of Canada,Refundable tax credit,140,The GST/HST credit is a tax-free quarterly payment that helps individuals and families with low and modest incomes offset all or part of the GST or HST that they pay,Low Income,"Must file taxes, income-tested",,,,,$573M,,,,,,,,"1,401,770",,,,
CWB: general,CWB: general,Financial Supports: Work-Related,Government of Canada,Refundable tax credit,141,The Canada Workers Benefit is a refundable tax credit that is intended to supplement the earnings of low income workers and improves work incentives for low-income Canadians,"Employed, earning at least $3,000/year, low-income",Income-tested,,,,,,,,,,,,,,,,,
CWB: Disability Supplement,CWB: Disability Supp.,Financial Supports: Work-Related,Government of Canada,Refundable tax credit,142,The Canada Workers Benefit is a refundable tax credit that is intended to supplement the earnings of low income workers and improves work incentives for low-income Canadians. The CWB: Disability tops up the CWB for persons with disabilities,"Employed, earning at least $1,150/year, low-income, and eligible for the Disability Tax Credit",Income-tested,,,,,,,,,,,,,,,,,
Basic Personal Tax Credit,Basic Person. Tax Cred.,Financial Supports: Non-Work,Government of Canada,Non-refundable tax credit,143,"The basic personal tax credit is a non-refundable tax credit every Canadian resident is entitled to claim on his or her income tax return. It is the amount of income that can be earned before paying any federal income tax multiplied by the tax rate for the lowest tax bracket. This amount changes year to year in order to keep up with inflation. In 2019, it is $12,069 x 15% = $1,810.",,Must file taxes,,,,,,,,,,,,,,,,,
Disability Tax Credit,DTC,Financial Supports: Non-Work,Government of Canada,Non-refundable tax credit,144,The disability tax credit (DTC) is a non-refundable tax credit that helps persons with disabilities or their supporting persons reduce the amount of income tax they may have to pay.,Person with disabilities,Must file taxes,,,,,,,,,,,,,,,,$68M,
Medical Expenses Tax Credit,Med Expense Cred.,Medical/Health,Government of Canada,Non-refundable tax credit,145,The medical expense tax credit is a non-refundable tax credit for healthcare expenses paid.,Eligible medical expense,"Must file taxes, income-tested",,,,,,,,,,,,,,,,$84.6M,
Canada Student Grants,Canada Student Grants,"Education, Training, and Employment",Government of Canada,Cash Geared to Cost,146,The Government of Canada offers student grants and loans to full-time and part-time students. Grants and loans help students pay for their post-secondary education.,,Attending post-secondary,,,,,,,,,,,,,,,,,
Canada Student Loans,Canada Student Loans,"Education, Training, and Employment",Government of Canada,Cash Geared to Cost,147,The Government of Canada offers student grants and loans to full-time and part-time students. Grants and loans help students pay for their post-secondary education.,,Attending post-secondary,,,,,,,,,,,,,,,,,
Education and Training Benefit (Veterans),Vet. Education & Training,"Education, Training, and Employment",Government of Canada,Cash Geared to Cost,148,Helps in financing veteran's education,Veteran or Canadian Armed Forces,,,,,,,,,,,,,,,,,,
