Level of Government Full,Level of Government,Responsible Ministry Full,Responsible Ministry,Administered By Full,Administered By,Full Program Name,Program,Show Name,Description,Eligbility,Conditions,ChildPrograms,Expenditures (2018/19),Number of Recipients (2018/19),Cases (July 2019),Expenditures (2017/18),Number of Eligible Children (March 2018),Base Program Funding (2018/19),Recipients (2017),Expenditures (2017),Budget (2019/20),Expenditures (2019 YTD),Recipient (2019 YTD),Recipients (2017/18),Recipients (2018),Expenditures (2018),Expenditures (2016),Recipients (2016/17),Total Expenditures,,colour3
Provincial,Government of British Columbia,Ministry of Labour,Labour,WorkSafeBC,WorkSafeBC,WorkSafe BC: Wage loss benefits,Wage Loss Benefits,TRUE,Wage-loss benefits compensate workers who lose pay due to a work-related injury or illness. Benefits continue until the worker is able to participate in modified work or return to usual duties.,Injured at work.,,,,,,,,,"48,771 (new claims)","$447,039,069 (new claims)",,,,,,,,,447039069,4,#FFF0F5
Provincial,Government of British Columbia,Health,Health,BC Pharmacare,BC Pharmacare,Fair Pharmacare,Fair Pharmacare,TRUE,"Fair PharmaCare helps B.C. families pay for eligible prescription drugs, dispensing fees and some medical.",,Income-tested,"<h6>Pharmacare Programs:</h6><ol style=""margin-top: -12px;""> <li> General Fair Pharmacare</li> <li>Residents of Residential Care Facilities (Plan B) </li> <li>Recipients of IA/DA/HA (Plac C)</li> <li>Cystic Fibrosis (Plan D)</li> <li>Children in the At-Home program (Plan F)</li> <li>Psychiatric Medication (Plan G)</li> <li>Pallitive Care (Plan P)</li> <li>First Nations (Plan W)</li> </ol>",$716.65M,"472,000 beneficiaries, 2.9M enrolled",,,,,,,,,,,,,,,716650000,2,#FFF0F5
Provincial,Government of British Columbia,Health,Health,Farmer's Market,Farmer's Market,BC Farmer's Market Nutrition Program,Nutrition Program,FALSE,"The BC Farmer's Market Nutrition Program helps low-income individuals and seniors gain access to healthy, locally grown food through the provision of coupons. Each household is eligible to receive a minimum of $21/week in coupons which can be redeemed at participating farmers markets. The program runs throughout the summer months.",Low-income and pregnant or dependent children or senior,,,,"About 12,000 over 4,000 households and 79 communities",,,,,,,,,,,,,,,,2,#FFF0F5
Provincial,Government of British Columbia,Ministry of Education,Education,Ministry of Education,Education,BC Education and Training Savings Grant ,Education Savings Grant,FALSE,"The BC Government will contribute $1,200 to eligible children (who are beneficiaries of an RESP) through the BC Training and Education Savings Grant (BCTESG). The BCTESG requires no matching or additional contributions",Child(ren),Must have an RESP ,,,,,,,,,,,,,,,,,,,2,#FFF0F5
Provincial,Government of British Columbia,Ministry of Education,Education,Service provider,Service provider,CommunityLink Funding and Vulnerable Student Supplement,CommunityLink & VSS,FALSE,"CommunityLINK (Learning Includes Nutrition and Knowledge) funding is designed to support the academic achievement and social functioning of vulnerable students. Programs and services can include breakfast, lunch and snack programs, academic supports, counseling, youth workers and after-school programs.",,,,$52.8M (CommunityLINK) + $11.2M (VSS),"60 school districts, i.e. all school districts receive CommunityLink. 25 school districts receive VSS.",,,,,,,,,,,,,,,,2,#FFF0F5
Provincial,Government of British Columbia,"Ministry of Energy, Mines, and Petroleum Resources","Energy, Mines, & Petroleum Resources",BC Hydro,BC Hydro,BC Hydro Customer Crisis Fund,Crisis Fund,TRUE,"A grant payment to avoid disconnection of service may be available to residential customers who have fallen behind on their BC Hydro bill due to a temporary financial crisis, such as a loss of employment or income, unanticipated medical expenses, or a death in the family",Overdue payments to BC Hydro and unexpected financial crisis,,,"$847,518 ","2,282",,,,,,,,,,,,,,,"$847,518 ",2,#FFF0F5
Provincial,Government of British Columbia,"Ministry of Energy, Mines, and Petroleum Resources","Energy, Mines, & Petroleum Resources",BC Hydro,BC Hydro,Energy Conservation Assistance Program,ECAP,FALSE,"The Energy Conservation Assistance Program (ECAP) provides income-qualified residential customers with a free home energy evaluation, energy-saving products and advice",Low Income,Income-tested,,,,,,,,,,,,,,,,,,,2,#FFF0F5
Provincial,Government of British Columbia,Ministry of Public Safety & Solicitor General,Public Safety & Solicitor General,VictimLinkBC,VictimLinkBC,Crime Victim Assistance Program,CVAP,FALSE,"The Crime Victim Assistance Program (CVAP) assists victims, immediate family members and some witnesses in coping with the effects of violent crime. It provides financial benefits to help offset financial losses and assist in recovery.",Victim of crime resulting in financial loss - replaces lost income,Income-tested,,,,,,,,,,,,,,,,,,,2,#FFF0F5
Provincial,Government of British Columbia,Ministry of Public Safety & Solicitor General,Public Safety & Solicitor General,VictimLinkBC,VictimLinkBC,Victim Travel Fund,Victim Travel Fund,FALSE,"You may qualify for help to travel to interviews, hearings and other justice-related proceedings. The Victim Travel Fund provides funds up to $3,000.00 for a family or victim to attend justice-related proceedings in B.C. Eligible expenses may include meals, accommodation and the most cost effective form of travel",Victim of crime,,,,,,,,,,,,,,,,,,,,2,#FFF0F5
Provincial,Government of British Columbia,NGO,NGO,NGO,NGO,Rent Banks,Rent Banks,FALSE,Rent Banks offers short term funding (loans) available to families and individuals that are at risk of eviction or essential utility disconnection due to a temporary shortage of funds. BC Budget 2019 has proposed $10M funding for a province-wide rent bank.,"Low income persons who rent primary residence and are expereincing a temporary, unexpected crisis, and have proof they can repay the loan",Income-tested,,,,,,,,,,$10M ,,,,,,,,10000000,1,#FFF0F5
Provincial,Government of British Columbia,Transportation and Infastructure,Transportation & Infastructure,BC Buss Pass Program,BC Buss Pass Program,BC Bus Pass for Seniors,Senior Bus Pass,TRUE,Low income seniors and other eligible recipients living in an area served by BC Transit or TransLink may receive a reduced-cost bus pass,"Low-income senior receiving either the GIS, Allowance, IA, or DA",,,$34.6M,"61,290",,,,,,,,,,,,,,,34600000,1,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Canada Mortgage and Housing Corporation,Canada Mortgage & Housing Corporation,First Time Home Buyer Incentive,FTHBI,FALSE,A means-tested program to be administered by CMHC that helps first-time home buyers by advancing up to 10 percent of the home purchase price for CMHC-insured mortgages so they can take out a smaller mortgage and keep monthly payments lower.  ,"First-time home buyer and income < $120,000",Income-tested,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Canada Mortgage and Housing Corporation,Canada Mortgage & Housing Corporation,Housing Internship for First Nation and Inuit Youth,HIIFNIY,FALSE,This program provides financial assistance to help First Nations and Inuit businesses and organizations create housing-related internships for youth. These internships can provide much-needed work experience and on-the-job training to youth.,First nations or Aboriginal or Inuit,,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Canada Mortgage and Housing Corporation,Canada Mortgage & Housing Corporation,Housing Supply Challenge,Housing Supply,FALSE,Program invites municipalities and other stakeholders to propose new ways to break down barriers in the creation of new housing.  Merit-based competition will fund winners $300 million in funding,,,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Canada Revenue Agency,Canada Revenue Agency,GST/HST New Housing Rebate,New Housing Rebate,FALSE,"The GST/HST new housing rebate allows an individual to recover some of the goods and services tax (GST) or the federal part of the harmonized sales tax (HST) paid for a new or substantially renovated house that is for use as the individual's, or their relation's, primary place of residence, when all of the other conditions are met. ","House price < $450,000, and newly built or substantially renovated home",,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Canada Revenue Agency,Canada Revenue Agency,Home Buyer's Plan,Home Buyer's Plan,FALSE,"The Home Buyers' Plan (HBP) is a program that allows individuals to withdraw up to $25,000 in a calendar year from their registered retirement savings plans (RRSPs) to buy or build a qualifying home for themself or for a related person with a disability",First time home buyer,,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Employment and Social Development Canada,Employment & Social Development,Canada Education Savings,Canada Education Savings,FALSE,The Canada Education Savings Grant (CESG) is money that the Government adds to a Registered Education Savings Plan (RESP). An Additional amount of CESG is available to eligible children from middle- and low-income families. The Canada Learning Bond (CLB) is money that the Government adds to a Registered Education Savings Plan (RESP) for children from low-income families. This money helps to pay the costs of a child’s full- or part-time studies after high school .,Child(ren),"Hold an RESP. For the Grant, must deposit money into the RESP.","<h6>Programs:</h6><ol style=""margin-top: -12px;""><li>Canada Education Savings Grant</li><li>Canada Education Savings Grant addition</li><li>Canada Learning Bond</li></ol>",,,,,,,"481,366 - Grant, 155,011 - Bond","$1,678M - Grant, $138M - Bond",,,,,,,,,1816000000,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Employment and Social Development Canada,Employment & Social Development,Disability Savings,Disability Savings,FALSE,Individuals with an RDSP can apply for a Canada Disability Savings Grant or Bond. The Canada Disability Savings Bond is a government contribution to the Registered Disability Savings Plans (RDSPs) of low and modest income Canadians.,Eligible for the Disability Tax Credit.,Income-tested,"<h6>Programs:</h6><ol style=""margin-top: -12px;""><li>Disability Savings Grant</li><li>Disability Savings Bonds</li></ol>",,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Employment and Social Development Canada,Employment & Social Development,Skills Link,Skills Link,FALSE,"The Skills Link program is a component of the Government of Canada's Youth Employment Strategy (YES). Through funding of organizations, the Skills Link program helps youth overcome barriers to employment, develop a broad range of skills and knowledge in order to participate in the current and future labour market and to promote education and skills as being key to labour market participation",Youth,,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Employment and Social Development Canada,Employment & Social Development,Work Integrated Learning Opportunities/work placements,Work Placements,FALSE,"Through Employment and Social Development Canada, creation of 40,000 work-integrated learning opportunities/work placements: $631.2 million over 5 years for 20,000 new work placements per year plus $150 million over 4 years to ESDC create partnerships with business to create a further 20,000",,,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Service Canada,Service Canada,Allowance ,Allowance ,FALSE,"The Allowance is a benefit available to people aged 60 to 64 who have a low income, who are living in Canada, and whose spouse or common-law partner has died or whose spouse or common-law is receiving the GIS.","Ages 60 - 64, married, common-law or widowed, low income",Income-tested,"<h6>Allowance Programs:</h6><ol style=""margin-top: -12px;""> <li> Allowance for the Survivor</li> <li>Allowance for People Aged 60 to 64</li></ol>","$66,350,946 ","7,642",,,,,,,,,,,,,,,"$66,350,946 ",21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Service Canada,Service Canada,Apprenticeship Grants,Apprenticeship Grants,FALSE,The Apprenticeship Incentive Grant (AIG) and the Apprenticeship Incentive Grant for Women (AIG-W) helps pay for expenses while training as an apprentice in a designated Red Seal trade. The Apprenticeship Completion Grant (ACG) is a taxable cash grant for registered apprentices who successfully complete their program.,Enrollment or completion of apprenticeship program,,"<h6>Programs:</h6><ol style=""margin-top: -12px;""><li>Apprenticeship Completion Grant</li><li>Apprenticeship Incentive Grant</li><li>Apprenticeship Incentive Grant for Women</li></ol>",,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Service Canada,Service Canada,Canada Pension Plan,Canada Pension Plan,TRUE,"The Canada Pension Plan (CPP) provides contributors and their families with partial replacement of earnings in the case of retirement, disability or death. Almost all individuals who work in Canada outside Quebec contribute to the CPP.",Varies,Contributed to CPP (through paid employment),"<h6>Programs within CPP:</h6><ol style=""margin-top: -12px;""><li>CPP: Retirement Pension</li><li>CPP: Disability Benefit</li><li>CPP: Children's Benefits</li><li>CPP: Death Benefit</li><li>CPP: Survivor's Pension</li></ol>",,,,,,,,,,,,,"<ol><li>CPP: Retirement Pension:947,350</li><li>CPP: Disability Benefit: 60,147</li><li>CPP: Children's Benefits: 23,989</li><li>CPP: Death Benefit:3,018</li><li>CPP: Survivor's Pension:185,127</li></ol>","<ol><li>CPP: Retirement Pension:$6,437M</li><li>CPP: Disability Benefit: $757M</li><li>CPP: Children's Benefits: $83.5M</li><li>CPP: Death Benefit:$64.3M</li><li>CPP: Survivor's Pension:$740M</li></ol>",,,8081800000,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Service Canada,Service Canada,Canadian Benefit for Parents of Young Victims of Crime,Victims of Crime,FALSE,"Parents or legal guardians who have taken time away from work and suffered a loss of income to cope with the death or disappearance of their child or children may be eligible for federal income support of $4,50 per week.","Employed, and reduction in employment earnings, and child was a victim of a crime",,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Service Canada,Service Canada,Employment Insurance,Employment Insurance,TRUE,"The Employment Insurance (EI) program provides temporary income support to unemployed workers while they look for employment or to upgrade their skills. The EI program also provides special benefits to workers who take time off work due to specific life events (illness; pregnancy; caring for a newborn or newly adopted child, a critically ill or injured person, or a family member who is seriously ill with a significant risk of death). Workers receive EI benefits only if they have paid premiums in the past year and meet qualifying and entitlement conditions. ",Varies,Income-tested,"<h6>Programs:</h6><ol style=""margin-top: -12px;""><li>Regular (unemployment) benefits</li><li>Maternity</li><li>Parental</li><li>Sickness</li><li>Caregiving</li><li>Family Supp.</li><li>Self-Employed</li></ol>",,,,,,,,,,,,,"<ol><li>Regular (unemployment) benefits: 32,140</li><li>Maternity and Parental: 27,370</li><li>Sickness: 10,360</li><li>Caregiving: 250</li><li>Family Supp.</li><li>Self-Employed</li></ol>",,,,1949700000,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Service Canada,Service Canada,Guaranteed Income Supplement,GIS,TRUE,The Guaranteed Income Supplement (GIS) provides a monthly non-taxable benefit to Old Age Security (OAS) pension recipients who have a low income and are living in Canada,Low income senior,Income-tested,,,,,,,,,,,,,,"268,909","$1,730M",,,1730000000,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Service Canada,Service Canada,Old Age Security Pension,OAS,TRUE,The Old Age Security (OAS) pension is a monthly payment available to seniors aged 65 and older who meet the Canadian legal status and residence requirements,Senior,Income-tested,,,,,,,,,,,,,,"866,474","$5,646M",,,5646000000,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,StudentAid BC,StudentAid BC,Canada Student Grants,Canada Student Grants,FALSE,The Government of Canada offers student grants and loans to full-time and part-time students. Grants and loans help students pay for their post-secondary education.,,Attending post-secondary,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,StudentAid BC,StudentAid BC,Canada Student Loans,Canada Student Loans,FALSE,The Government of Canada offers student grants and loans to full-time and part-time students. Grants and loans help students pay for their post-secondary education.,,Attending post-secondary,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Government of Canada,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Financial Service provider,Financial Service provider,RDSP ,RDSP ,FALSE,Savings account for persons with a disability.,Must be eligible for the Disability Tax Credit.,,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Government of Canada,Government of Canada,Employment and Social Development Canada,Employment & Social Development,Financial Service provider,Financial Service provider,RESP,RESP,FALSE,Savings account for education.,,,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Employment and Social Development Canada,Employment & Social Development,WorkSafeBC,WorkSafeBC,Federal Worker's Comp.,Federal Worker's Comp.,FALSE,The Government Employees Compensation Act (GECA) provides compensation to federal government employees who are injured while on the job or become ill because of their work,"Injured at work, and federal employee.",,,,,,,,,,,,,,,,,,,,21,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,NGO,NGO,War Veteran's Funeral and Burial Assistance,War Vet Funeral Assistance,FALSE,"Funeral and burial assistance is provided throughthe Last Post Fund, a non-profit organization, to help pay for funeral and burial services, including a military gravestone, for eligible Veterans.",No available money in estate,Income-tested,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,Canadian Forces Disability Benefits,Disability Benefits,FALSE,"A disability benefit is a tax-free, financial payment to support your well-being. The amount you receive depends on the degree to which your condition is related to your service (entitlement) and the severity of your condition, including its impact on your quality of life (assessment).",Veteran or Canadian Armed Forces,,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,Canadian Forces Income Replacement Benefit,Income Replacement,FALSE,The Income Replacement Benefit provides income assistance to maintain income while taking part in the VAC rehabilitation program.,"Veteran or Canadian Armed Forces, and diminished or no earnings",Income-tested,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,Canadian Forces Income Support,Income Support,FALSE,"The Canadian Forces Income Support is a tax-free monthly benefit. It helps low-income CAF Veterans who no longer qualify for the Earnings Loss Benefit, after participating in the Rehabilitation program.","Veteran or Canadian Armed Forces, and Low Income",Income-tested,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,Education and Training Benefit (Veterans),Education & Training,FALSE,Helps in financing veteran's education,Veteran or Canadian Armed Forces,,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,Veteran Exceptional Incapacity Allowance,Incapacity Allowance,FALSE,The Exceptional Incapacity Allowance is a tax-free monthly payment that recognizes that your serious illness or injury has a significant effect on your quality of life.,Veteran and is a person with a disability,,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,Veteran's Attendance Allowance,Attendance Allowance,FALSE,"The attendance allowance helps to cover the cost of hiring a caregiver to assist you in your day-to-day life. The amount you can receive is based on the level of care you need, from occasional to full-time supervision and care.",Veteran and is a person with a disability who needs assistance with daily living activities,,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,Veteran's Detention Benefit,Detention Benefit,FALSE,"The Detention Benefit is a tax-free lump-sum payment for Veterans or CAF members who were detained by an enemy, opposing force or terrorist group while serving in the Canadian Armed Forces.","Detained or evaded capture by an enemy, opposing force, or terroist group (after Apr. 2006)",,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,Veteran's Independence Program,Independence,FALSE,"The Veterans Independence Program provides funding for services such as grounds maintenance, housekeeping, meal preparation, personal care, and professional health and support services.",Low-income veteran,Income-tested,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,Veteran's Independence Program for Survivors,Independence for Survivors,FALSE,The Veterans Independence Program for survivors provides annual funding to help cover the cost for services such as grounds maintenance and housekeeping.,Low-income or person with a disability and a survivor of veteran,Income-tested,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,Veterans Clothing Allowance,Clothing Allowance,FALSE,"If you buy special clothes to accommodate your disability you may qualify for this allowance. For example, you may wear a brace, splint, or prosthetic that requires specially-made clothes, or that causes extra wear and tear. You can also use the monthly allowance to pay for your damaged clothes to be mended.",Veteran with disability where disability affects clothing,,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,War Veteran's Prisoner of War Compensation,War Vet POW Comp.,FALSE,"Prisoner of War Compensation is a tax-free benefit for Veterans of the Second World War and the Korean War, who were detained or evaded capture for more than 30 days.",Detained/POW during WWII or Korean war,,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,War Veterans Allowance,War Vet Allowance,FALSE," The War Veterans Allowance (WVA) is a tax-free, monthly benefit to help low-income war Veterans and their dependents or their survivors.",Low-income veteran of WWII or Korean war,Income-tested,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Veterans Affairs Canada,Veterans Affairs,Veterans Affairs Canada,Veterans Affairs,War Veterans Death Benefit,War Vet Death Benefit,FALSE,The Death Benefit is paid to a spouse or common-law partner and the dependent children of a Canadian Armed Forces member who died as a result of a service-related injury or illness.,Survivor of veteran or WWII or Korean war,,,,,,,,,,,,,,,,,,,,14,#FFF0F5
Federal,Government of Canada,Department of Finance,D.Finance,Canada Revenue Agency,Canada Revenue Agency,Basic Personal Tax Credit,Basic Personal Tax Credit,FALSE,"The basic personal tax credit is a non-refundable tax credit every Canadian resident is entitled to claim on his or her income tax return. It is the amount of income that can be earned before paying any federal income tax multiplied by the tax rate for the lowest tax bracket. This amount changes year to year in order to keep up with inflation. In 2019, it is $12,069 x 15% = $1,810.",,Must file taxes,,,,,,,,,,,,,,,,,,,11,#FFF0F5
Federal,Government of Canada,Department of Finance,D.Finance,Canada Revenue Agency,Canada Revenue Agency,Canada Child Benefit,Canada Child Benefit,TRUE,The Canada child benefit (CCB) is a tax free monthly payment made to eligible families to help them with the cost of raising children under 18 years of age.,Dependent child(ren),"Income-tested, must file taxes",,,,,"$2,689M",,,,,,,,"442,610",,,,,2689000000,11,#FFF0F5
Federal,Government of Canada,Department of Finance,D.Finance,Canada Revenue Agency,Canada Revenue Agency,Canada Training Credit,Canada Training Credit,FALSE,"To help Canadians with the cost of training fees. Eligible workers between the ages of 25 and 64 accumulate a credit balance at a rate of $250 per year, up to a lifetime limit of $5,000. The credit can be used to refund up to half the costs of taking a course or enrolling in a training program.",,,,,,,,,,,,,,,,,,,,,11,#FFF0F5
Federal,Government of Canada,Department of Finance,D.Finance,Canada Revenue Agency,Canada Revenue Agency,Canada Worker's Benefit ,Canada Worker's Benefit ,TRUE,The Canada Workers Benefit is a refundable tax credit that is intended to supplement the earnings of low income workers and improves work incentives for low-income Canadians. Replaces the WITB. Will be implmented in tax year 2019.,Low Income,Income-tested,"<h6>Programs within CWB:</h6><ol style=""margin-top: -12px;""><li>CWB: General</li><li>CWD-Disability: top-up to CWB for persons with a disability.",,,,,,,,,,,,,,,,,,11,#FFF0F5
Federal,Government of Canada,Department of Finance,D.Finance,Canada Revenue Agency,Canada Revenue Agency,Child Disability Benefit,Child Disability Benefit,FALSE,The child disability benefit is a tax-free monthly payment made to families who care for a child under age 18 with a severe and prolonged impairment in physical or mental functions.,"Dependent child(ren) with a disability, and eligible for the Disability Tax Credit and the Canada Child Benefit",Income-tested,,,,,,,,,,,,,,,,,,,11,#FFF0F5
Federal,Government of Canada,Department of Finance,D.Finance,Canada Revenue Agency,Canada Revenue Agency,Disability Tax Credit,Disability Tax Credit,TRUE,The disability tax credit (DTC) is a non-refundable tax credit that helps persons with disabilities or their supporting persons reduce the amount of income tax they may have to pay.,Person with disabilities,Must file taxes,,,,,,,,,,,,,,,,$68M,,68000000,11,#FFF0F5
Federal,Government of Canada,Department of Finance,D.Finance,Canada Revenue Agency,Canada Revenue Agency,Excise Gasoline Tax Refund,Excise Gasoline Refund,FALSE,"Individuals who have a permanent mobility impairment and cannot safely use public transportation, can request a refund of part of the federal excise tax on the gasoline you buy. A qualified medical practitioner must certify the impairment",Persons with a disability who cannot safely use public transit,,,,,,,,,,,,,,,,,,,,11,#FFF0F5
Federal,Government of Canada,Department of Finance,D.Finance,Canada Revenue Agency,Canada Revenue Agency,GST/HST Credit,GST/HST Credit,TRUE,The GST/HST credit is a tax-free quarterly payment that helps individuals and families with low and modest incomes offset all or part of the GST or HST that they pay,Low Income,"Must file taxes, income-tested",,,,,$573M,,,,,,,,"1,401,770",,,,,573000000,11,#FFF0F5
Federal,Government of Canada,Department of Finance,D.Finance,Canada Revenue Agency,Canada Revenue Agency,Medical Expenses Tax Credit,Medical Expense Credit,FALSE,The medical expense tax credit is a non-refundable tax credit for healthcare expenses paid.,Eligible medical expense,"Must file taxes, income-tested",,,,,,,,,,,,,,,,$84.6M,,84600000,11,#FFF0F5
Federal,Government of Canada,Department of Finance,D.Finance,Financial Service provider,Financial Service provider,RRSP,RRSP,FALSE,Savings account for retirement.,,,,,,,,,,,,,,,,,,,,,11,#FFF0F5
Federal,Government of Canada,Department of Finance,D.Finance,Financial Service provider,Financial Service provider,TFSA,TFSA,FALSE,Tax free savings account,,,,,,,,,,,,,,,,,,,,,11,#FFF0F5
Federal,Government of Canada,Health Canada,Health Can.,First Nations Health Authority,First Nations Health Authority,Indian Residential Schools Resolution Health Support Program,IRS RHSP,FALSE,"The Indian Residential Schools Resolution Health Support Program (IRS RHSP) provides mental health, emotional and cultural support services to eligible former Indian Residential School students and their families throughout all phases of the Indian Residential School Settlement Agreement",First nations or Aboriginal or Inuit; and former Indian Residential School students and family members,,,,,,,,,,,,,,,,,,,,2,#FFF0F5
Federal,Government of Canada,Health Canada,Health Can.,First Nations Health Authority,First Nations Health Authority,Non-Insured Health Benefits Program,NIHB,FALSE,The Non-Insured Health Benefits Program provides eligible First Nations and Inuit with coverage for a specified range of medically necessary health-related goods and services when not covered through private insurance plans or provincial/territorial health and social programs.,First nations or Aboriginal or Inuit with no other health insurance,Income-tested,,,,,,,,,,,,,,,,,,,2,#FFF0F5
Federal,Government of Canada,"Immigration, Refugees, and Citizenship Canada","Immigration, Refugees,  Citizenship","Immigration, Refugees, and Citizenship Canada","Immigration, Refugees, & Citizenship",Federal Internship for Newcomers Program,Newcomers Internship,FALSE,"The Federal Internship for Newcomers (FIN) Program offers eligible newcomers a chance to gain valuable temporary work experience and training opportunities with Canadian federal, provincial and municipal organizations.",Immigrant or Refugee or New to Canada,,,,,,,,,,,,,,,,,,,,4,#FFF0F5
Federal,Government of Canada,"Immigration, Refugees, and Citizenship Canada","Immigration, Refugees,  Citizenship","Immigration, Refugees, and Citizenship Canada","Immigration, Refugees, & Citizenship",Immigration Loans Program ,Immigation Loans,FALSE,The Immigration Loans Program provides financial help to refugees selected for resettlement. ,Immigrant or Refugee or New to Canada,Income-tested,"<h6>Programs:</h6><ol><li style=""margin-top: -12px;"">Right of Permanent Residence Fee Loan</li><li>Assistance Loans</li></ol>",,,,,,,,,,,,,,,,,,4,#FFF0F5
Federal,Government of Canada,"Immigration, Refugees, and Citizenship Canada","Immigration, Refugees,  Citizenship","Immigration, Refugees, and Citizenship Canada","Immigration, Refugees, & Citizenship",Language Instruction for Newcomers to Canada,LINC,FALSE,Permanent residents and protected persons can take language classes at no cost. They are funded by the government.,Immigrant or premanent resident ,,,,,,,,,,,,,,,,,,,,4,#FFF0F5
Federal,Government of Canada,"Immigration, Refugees, and Citizenship Canada","Immigration, Refugees,  Citizenship","Immigration, Refugees, and Citizenship Canada","Immigration, Refugees, & Citizenship",Resettlement Assistance Program,Resettlement Assistance,FALSE,"The Government of Canada gives resettlement help to Convention Refugees Abroad. Immediate and essential services are delivered by Service Provider Organizations (SPOs), generally within the first 4-6 weeks of a newcomer’s arrival in Canada. Activities include the following: providing temporary accommodation, providing basic orientation to Canada, life skills training and financial orientation, assisting in finding permanent accommodation, and referring to other settlement programs.",Immigrant or Refugee or New to Canada,,,,,,,,,,,,,,,,,,,,4,#FFF0F5
