Full Program Name,Program,Age,Program Type/Target,Level of Government,Application Method,Ordering,Description,Eligbility,Conditions,ChildPrograms,Expenditures (2018/19),Number of Recipients (2018/19),Cases (July 2019),Expenditures (2017/18),Number of Eligible Children (March 2018),Base Program Funding (2018/19),Recipients (2017),Expenditures (2017),Budget (2019/20),Expenditures (2019 YTD),Recipient (2019 YTD),Recipients (2017/18),Recipients (2018),Expenditures (2018),Expenditures (2016),Recipients (2016/17),ExpendituresTotal
Transportation to Alcohol and Drug Facilities,Transport to Alcohol & Drug Fac.,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Contact Caseworker ,58,A General Supplement to meet the costs of transportation to and from an approved special care facility for residential alcohol and drug treatment in BC. Covers least costly appropiate mode of transport.,"TA, DA, or HA recipients when no other funds available",,,,,,$0.03M,,,,,,,,386 issued on 325 cases,,,,,30000
Travel Supplement,Travel Supp. ,Working-Age,"Education, Training, and Employment",Government of British Columbia,Contact Caseworker ,59,A General Supplement provided to assist with the cost of attending a self-help skill program or supported work-placement program approved by Community Living British Columbia (CLBC). Eligible recipients receive up to $46/month. Can be paid to the individual or transportation agency.,Recipients of TA or DA with a developmental disability. Recipients must meet both of the following conditions: <br/><ul><li> qualify as a person with a developmental disability under CLBC’s eligibility criteria and receive services from CLBC and </li> <li>are attending a self-help skills program or supported work-placement programapproved by CLBC.</li></ul>,,,,,,$1.1M,,,,,,,,"24,382 issued on 2,119 cases",,,,,1100000
Tube Feed Supplement,Tube Feed Supp. ,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,60,"A Health Supplement that provides liquid nutritional product, equipment and supplies to recipients unable to take food orally or process it through the gastrointestinal system.","Recipients of TA, DA, or HA and their dependents. Recipients submit prescription and diagnosis from a medical practitioner, nurse practitioneror a registered dietitian. Must not be receiving another nutrition-related supplement. MSO and THS
recipients if they were receiving this supplement when they left assistance. ",,,,,,Reported under Medical Supplies,,,,,,,,479 clients,,,,,0
Utility Security Deposits,Utility Deposit,Working-Age,Housing,Government of British Columbia,Contact Caseworker ,61,A General Supplement to assist with the cost of securing service for electricity or natural gas. This is a repayable supplement. Payment recovered through monthly $20 reduction in assistance payment. The amount of the supplement is the minimum amount required by the utility provider as a security deposit. ,"TA, DA, or HA recipient",,,,,,$0.3M,,,,,,,,962 issued on 909 cases,,,,,300000
WorkBC Single Parent Employment Initiative (LMDA),Single Parent Employ. Initiative,Working-Age,"Education, Training, and Employment",Government of British Columbia,Contact Caseworker ,62,Provides financial and Employment Service Centres service/supports to single parents on income or disability assistance to help them re-enter the workforce.,Single Parent receiving TA or DA,,,,,,,,,,,,,,"1,292",,,,,0
Aboriginal Emergency Assistance Fund (post-secondary),AEAF,Working-Age,"Education, Training, and Employment",Government of British Columbia,Self Initiated - Contact Administrator,63,Emergency financial assistance is provided by public post-secondary institutions to assist students who have urgent unforeseen financial needs that may prevent them from finishing their studies; students to contact the Aboriginal Student Services at their institution. Subject to available funding.,"First nations or Aboriginal or Inuit experiencing a short-term, unforeseen financial crisis",,,,,,,,,,,,,,,,,,,0
Agreements with Young Adults,AYA,Working-Age,"Education, Training, and Employment",Government of British Columbia,Self Initiated - Contact Administrator,64,"For persons who had been foster care or had a Youth Agreement, this program helps cover the cost of things like housing, child care, tuition and health care while they go back to school, or attend rehabilitation, vocational or approved life skills program","Formerly in foster care or under a Youth Agreement, and 19-26 years old.","Attending post-secondary, rehabilitation program, vocational program, or approved life skills program.",,"$10,183,183",301,,,,,,,,"$3,458,058",,,,,,,3458058
Community Adult Literacy Program,Adult Literacy,Working-Age,"Education, Training, and Employment",Government of British Columbia,Self Initiated - Contact Administrator,65,The Community Adult Literacy Program (CALP) is a community-based literacy initiative to promote and deliver adult literacy programs and services across the province; the goal of CALP is to increase the literacy and numeracy levels of adults 19 years and older through one on one or small group learning environments ,,,,,,,,,,,,,,,,,,$2.4M,"4,151 (unclear if this is programs funded or persons served)",2400000
Community Living BC,Community Living,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Self Initiated - Contact Administrator,66,"Community Living BC, or CLBC, is the provincial crown corporation that funds supports and services to adults with developmental disabilities, as well as individuals who have a diagnosis of Autism Spectrum Disorder (ASD) or Fetal Alcohol Spectrum Disorder and who also have significant difficulty doing things on their own.",Adults with developmental disabilities,,,"$1,001M",,,,,,"20,049 (Mar. 2017)",,"$1,064.8M",,,,,,,,1064800000
Funeral Costs,Funeral,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Self Initiated - Contact Administrator,67,"A General Supplement that may be provided to paynecessary funeral costs of any person who dies in BC. Up to $1,285 for basic services and $815 for other services.",No immediate resources to cover the cost,,,,,,$4.9M,,,,,,,,"2,008 issued",,,,,4900000
Legal Aid,Legal Aid,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Self Initiated - Contact Administrator,68,"The Legal Services Society offers a range of free legal services to all British Columbians, with priority given to people with low incomes. Services include legal information, advice, and representation",,,,,,,,,,,,,,,,,,,,0
Victim Travel Fund,Victim Travel Fund,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Self Initiated - Contact Administrator,69,"You may qualify for help to travel to interviews, hearings and other justice-related proceedings. The Victim Travel Fund provides funds up to $3,000.00 for a family or victim to attend justice-related proceedings in B.C. Eligible expenses may include meals, accommodation and the most cost effective form of travel",Victim of crime,,,,,,,,,,,,,,,,,,,0
BC Farmer's Market Nutrition Program,Nutrition Program,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Self Initiated - Contact Third Party Provider,70,"The BC Farmer's Market Nutrition Program helps low-income individuals and seniors gain access to healthy, locally grown food through the provision of coupons. Each household is eligible to receive a minimum of $21/week in coupons which can be redeemed at participating farmers markets. The program runs throughout the summer months.",Low-income and pregnant or dependent children or senior,,,,"About 12,000 over 4,000 households and 79 communities",,,,,,,,,,,,,,,0
Career Paths for Skilled Immigrants,Career Paths,Working-Age,"Education, Training, and Employment",Government of British Columbia,Self Initiated - Contact Third Party Provider,71,This program provides services to help immigrants find skilled employment in BC using the education and experience they bring to Canada.  Services are customized to the participant's needs including support specific to in-demand occupations,A immigrant or Refugee or New to Canada who is unemployed or underemployed,,,,,,,,,,,,,,,,,,,0
Independent Living ,Independent Living ,Working-Age,Housing,Government of British Columbia,Self Initiated - Contact Third Party Provider,72,"Independent Living BC (ILBC) is a subsidized, assisted-living program that provides housing with support services to seniors and people with disabilities. Persons who qualify live in theirr own unit in an assisted living residence.",Person with disability or seniors,Means-tested,,$41M for PWD's + $27M for seniors,"6,048 PWD's + 4,094 seniors",,,,,,,$40M for PWD's + $26M for seniors,,"6,101 PWD's + 4,094 seniors ",,,,,,66000000
Skills Training for Employment (WDA),Skills Training for Employment,Working-Age,"Education, Training, and Employment",Government of British Columbia,Self Initiated - Contact Third Party Provider,73,Provide skills training and supports to those who face barriers to employment. The B.C. Government is investing over $50M per year in programs for vulnerable and under-represented groups. Included in this programming is a new program (the Skills Training for Employment program (STE) targeting: young adults; young adults at risk (including former youth in care); survivors of violence and abuse; older workers 55+; people with multiple barriers to employment; and indigineous peoples,Unemployed Or underemployed,,,,,,,,,,,"$56M over 5,605 recipients",,,,,,,,56000000
WorkBC Employment Services (LMDA),Employ. Services,Working-Age,"Education, Training, and Employment",Government of British Columbia,Self Initiated - Contact Third Party Provider,74,WorkBC Employment Services supports all unemployed British Columbians in achieving sustainable employment through an integrated system of employment services and supports,Unemployed Or underemployed,,,$328.79M (includes LMDA + provincial funding),"89,035",,,,,,,,,,,,,,,328790000
Affordable Child Care Benefit,ACCB,Working-Age,Children and Family,Government of British Columbia,Self Initiated - Form,75,"The ACCB helps families with the cost of child care, depending on factors like family size, type of care and household income. In most cases, the child's caregivers pay the reduced child care fee, and the child care provider receives the payment.","Dependent child requiring childcare because recipient is: searching for work, attending school, is employed, or has a medical condition that interferes with their ability to care for their child.",Income-tested,,,,,,,,,,$234.4M,,"33,566 families",,,,,,234400000
BC Bus Pass for Seniors,Senior Bus Pass,Senior,Financial Supports: Non-Work,Government of British Columbia,Self Initiated - Form,76,Low income seniors and other eligible recipients living in an area served by BC Transit or TransLink may receive a reduced-cost bus pass. Recipients must pay $45 annually (not pro-rated) to cover administration costs.,"Persons who meet one of these criteria: <br/><ul><li>60 years or older and the spouse of a person with the PWD and receivingDA</li><li>60 years or older and receiving TA </li><li>60 years or older, living on a First Nations reserve and receiving assistance from the band office</li><li> 65 years or older, and receiving both Old Age Security (OAS) and the Guaranteed Income Supplement (GIS) </li><li>65 years or older, and would qualify for the GIS but does not meet the Canadian 10-year residency rule</li><li>Recei ving the Federal Allowance (formerly Spouse’s Allowance)</li><li>Receiving the Federal Allowance for the Survivor</li></ul>",,,$34.6M,"61,290",,,,,,,,,,,,,,,34600000
Crime Victim Assistance Program,CVAP,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Self Initiated - Form,77,"The Crime Victim Assistance Program (CVAP) assists victims, immediate family members and some witnesses in coping with the effects of violent crime. It provides financial benefits to help offset financial losses and assist in recovery.",Victim of crime resulting in financial loss - replaces lost income,Income-tested,,,,,,,,,,,,,,,,,,0
Disability Assistance,Disability Assistance,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Self Initiated - Form,78,"The BC Employment and Assistance Program for Persons with Disabilities provides disability assistance and supplements to provide greater independence for people with disabilities, including security of income, enhanced well-being, and participation in the community. ",Persons with disabilities and Low Income,Means-tested,,"$1,416M in Entitlements (shelter + support)",,"190,227",,,,,,"$1,498.9M in entitlements (support + shelter). Other operating costs included under TA.",,,,,,,,1498900000
Fuel Tax Refund for Persons with Disabilities,Fuel Tax Refund PWD,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Self Initiated - Form,79,The fuel tax refund program allows people with a qualifying disability to request a refund of the provincial motor fuel tax paid in B.C. on fuel used in an owned or leased vehicle.,Person with disabilities,,,,,,,,,,,,,,,,,,,0
Hardship Assistance,Hardship Assistance,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Self Initiated - Form,80,"Hardship assistance is intended to meet the essential needs of persons or families who are not eligible for Temporary Assistance or Disability Assistance for a number of reasons specified by regulation. Hardship assistance is not an entitlement, but may be provided at the discretion of the Minister according to legislative and regulatory criteria.  It is provided on a temporary basis for only one month at a time.  Eligibility for hardship assistance must be re-established each month.","Low-income, immediate need, and not eligibile for TA or DA because: waiting for EI or other income, assets or income in excess, identity not established, SIN required, or strike/lockout (among other reasons. See BCEA Policy Manual for more details).",Means-tested,,Combined with TA entitlements (see TA),,Included under Temporary Assistance,,,,,,"Entitlements are combined with TA entitlements, other operating costs included under TA",,,,,,,,
Home Adaptations for Independence,Home Adaptions,Working-Age,Housing,Government of British Columbia,Self Initiated - Form,81,The Home Adaptations for Independence (HAFI) program provides financial assistance for home modifications for eligible low-income individuals with mobility or health issues. Subject to available funding.,Person with disabilities and low income,Means-tested,,$5.4M,322 units,,,,,,,$10M (50/50 Fed.-Prov. funding) to 650 units,,630 units,,,,,,10000000
Medical Services Plan,MSP,Working-Age,Medical/Health,Government of British Columbia,Self Initiated - Form,82,"MSP is the provincial insurance program that pays for required medical services.  These include medically necessary services provided by physicians and midwives, dental and oral surgery performed in a hospital, eye examinations if medically required and some orthodontic services.  In addition, MSP pay for diagnostic services including x-rays.",All residents of B.C. and their dependents,,,,,,,,,,,,,,,,,,,
Provincial Tuition Waiver Program,Tuition Waiver,Working-Age,"Education, Training, and Employment",Government of British Columbia,Self Initiated - Form,83,This program waives tuition fees for B.C. students who are former youth in care between 19 and up to their 27th birthday who are attending a B.C. public post-secondary institution.,Former youth in care between 19-26 years old,Attending post-secondary,,$3.6M,806,,,,,,,,,,,,,,,3600000
Rental Assistance Program,RAP,Working-Age,Housing,Government of British Columbia,Self Initiated - Form,84,The Rental Assistance Program provides eligible low-income working families with cash assistance to help with their monthly rent payments.,"Households who are employed and low-income with dependent child(ren), paying more than 30% of gross monthly income to rent",Means-tested,,$50.4M,"9,276 units",,,,,,,"$64.3M over 10,900 units",,,,,,,,64300000
Shelter Aid for Elderly Renters,SAFER,Senior,Housing,Government of British Columbia,Self Initiated - Form,85,The Shelter Aid for Elderly Renters (SAFER) program helps make rents affordable for BC seniors with low to moderate incomes. SAFER provides monthly cash payments to subsidize rents for eligible BC residents who are age 60 or over and who pay rent for their homes,"Senior 60+ years, low income, and paying more than 30% of gross monthly income to rent",Income-tested,,$59.7M,"24,218 units",,,,,,,"$76.7M over 25,400 units",,,,,,,,76700000
"StudentAid BC: bursaries, loans, grants",StudentAid,Working-Age,"Education, Training, and Employment",Government of British Columbia,Self Initiated - Form,86,"StudentAid BC helps eligible students with the cost of their post-secondary education through loans, grants, scholarships, and other programs",,,,,,,,,,,,,,,,,,,,0
Supplementary Health Care Benefits ,Supp. Health Care,Working-Age,Medical/Health,Government of British Columbia,Self Initiated - Form,87,"The Supplementary Health Care Benefits program covers the cost of services such as acupuncture, chiropractic, massage therapy, naturopathy, physical therapy, and non surgical podiatry for eligible MSP beneficiaries",Acute need for additional therapy,,,,,,,,,,,,,,,,,,,0
WorkBC Apprentice Services (LMDA),Apprenticeship Services,Working-Age,"Education, Training, and Employment",Government of British Columbia,Self Initiated - Form,88,"Apprentices who meet Employment Insurance (EI) client eligibility requirements are eligible for financial supports WorkBC while participating in the classroom technical training components of their apprenticeship training. WorkBC Apprentice Services helps with expenses such as living supports, travel, dependent care and disability-related costs.",Apprentice training,Income-tested,,,,,,,,,,,,,,,,,,0
WorkBC Assistive Technology Services (LMDA),Assistive Tech. ,Working-Age,"Education, Training, and Employment",Government of British Columbia,Self Initiated - Form,89,Assistive Technology Services provides equipment and devices to help individuals thrive in the workplace.,Person with disabilities,,,,,,,,,,,,,,,,,,,0
WorkSafe BC: Health Care Benefits,WorkSafe Health Ben.,Working-Age,Financial Supports: Work-Related,Government of British Columbia,Self Initiated - Form,90,"Provides health care coverage for workers injured at work. Once reports are received from an injured worker, their employer, and their health care provider(s), and the claim is accepted, health care benefits cover the cost of the health care services and supplies that are considered reasonably necessary to treat the injuries. This may include medical treatments, hospitalization, medical supplies, rehabilitation, and medications.",Injured at work.,,,,,,,,,"52,422 (health care only claims)","$55,366,907 (health care only claims)",,,,,,,,,55366907
WorkSafe BC: Permanent Disability Benefit ,Perm Dis. Benefit,Working-Age,Financial Supports: Work-Related,Government of British Columbia,Self Initiated - Form,91,"If an injury at work results in a disability, and that disability is likely to impair future earning capacity, the injured worker may be eligible for a permanent disability award. The amount of the award depends on the circumstances of the claim.",Injured at work resulting in a disability that impairs future earnings.,,,,,,,,,"5,461 (new claims)","$616,664,347 (new claims)",,,,,,,,,616664347
WorkSafe BC: Wage loss benefits,Wage Loss Benefits,Working-Age,Financial Supports: Work-Related,Government of British Columbia,Self Initiated - Form,92,Wage-loss benefits compensate workers who lose pay due to a work-related injury or illness. Benefits continue until the worker is able to participate in modified work or return to usual duties.,Injured at work.,,,,,,,,,"48,771 (new claims)","$447,039,069 (new claims)",,,,,,,,,447039069
Youth Educational Assistance Fund for Former Youth in Care,YEAF,Working-Age,"Education, Training, and Employment",Government of British Columbia,Self Initiated - Form,93,"This program provides grants of up to $5,500 per program year to former BC youth in care students between 19 and 24 years of age. Students may receive a maximum of four grants",Former youth in care who are 19-24 years old,Attending post-secondary or other employment training,,,,,,,,,,,,,,,,,,0
Affordable Rental Housing,Affordable Rental Housing,Working-Age,Housing,Government of British Columbia,Self Initiated - Form ,94,"Affordable rental housing is for people who have a low to moderate incomes but may not be eligible for subsidized housing. Affordable rental housing is housing with rents equal to, or lower than, average rates in the private-market",,Income-tested,,"$138M Operating Grants + $244M Project Grants = 40,100 units",,,,,,,,"$126M Operating Grants + $305M Project Grants to provide 42,190 units",,,,,,,,431000000
BC Hydro Customer Crisis Fund,Crisis Fund,Working-Age,Housing,Government of British Columbia,Self Initiated - Form ,95,"A grant payment to avoid disconnection of service may be available to residential customers who have fallen behind on their BC Hydro bill due to a temporary financial crisis, such as a loss of employment or income, unanticipated medical expenses, or a death in the family",Overdue payments to BC Hydro and unexpected financial crisis,,,"$847,518","2,282",,,,,,,,,,,,,,,847518
Energy Conservation Assistance Program,ECAP,Working-Age,Housing,Government of British Columbia,Self Initiated - Form ,96,"The Energy Conservation Assistance Program (ECAP) provides income-qualified residential customers with a free home energy evaluation, energy-saving products and advice",Low Income,Income-tested,,,,,,,,,,,,,,,,,,
Home Owner Grant,HOG,Working-Age,Housing,Government of British Columbia,Self Initiated - Form ,97,"The home owner grant reduces the amount of property tax you pay for your principal residence. Supplemental grants are available for sub-populations: seniors, veterans, and people with disabilities",Rural homeowner,,,,,,,,,,,,"<h6>Expenditures (2019) </h6><ol><li>General: $437M</li><li>Persons with disabilities: $6.3M</li><li>Senior: $373M</li><li>Veteran: $21,000</li><li>Low Income Grant Supplement for People with Disabilities or Seniors: $379,000</li><li>Low Income Grant Supplement for Veterans: $2,700</li></ol>","<h6>Recipients (2019 YTD)</h6><ol><li>General: 896,000</li><li>Persons with disabilities: 8,500</li><li>Senior: 414,000</li><li>Veteran: 30</li><li>Low Income Grant Supplement for People with Disabilities or Seniors: 600</li><li>Low Income Grant Supplement for Veterans: 10</li></ol>",,,,,,816702700
PharmaCare Drug Plans,PharmaCare Drug Plans,Working-Age,Medical/Health,Government of British Columbia,Self Initiated - Form ,98,"BC PharmaCare helps B.C. residents with the cost of eligible prescription drugs, certain medical supplies, and pharmacy services. It provides assistance through several drug plans. There are a number of programs under PharmaCare. The largest is the income-based Fair PharmaCare plan. Deductibles and the Family Maximum (the out-of-pocket cost after which a family is fully covered) is dependent on program and family income. See the BC PharmaCare website for more information.",Dependent on plan,Dependent on plan,"<h6>Pharmacare Programs:</h6><ol style=""margin-top: -12px;""> <li> Fair Pharmacare</li> <li>Residents of Residential Care Facilities (Plan B) </li> <li>Recipients of TA/DA/HA (Plac C)</li> <li>Cystic Fibrosis (Plan D)</li> <li>Children in the At-Home program (Plan F)</li> <li>Psychiatric Medication (Plan G)</li> <li>Medication Management (Plan M)</li><li>Pallitive Care (Plan P)</li><li> Smoking Cessation (Plan S)</li> <li>First Nations (Plan W)</li> <li>HIV/AIDs (Plan X)</li><li>Assurance (Plan Z)</li></ol>","<h6>Expenditures 2018/19 by Program:</h6><ol style=""margin-top: -12px;""> <li> Fair Pharmacare: $716.65M </li> <li>Residents of Residential Care Facilities (Plan B): $37.34M </li> <li>Recipients of TA/DA/HA (Plan C): $402.48M</li> <li>Cystic Fibrosis (Plan D): $2.13M</li> <li>Children in the At-Home program (Plan F): $6.14M</li> <li>Psychiatric Medication (Plan G): $48.71M</li><li>Medication Management (Plan M): $22.48M</li> <li>Pallitive Care (Plan P): $20.53M</li><li> Smoking Cessation (Plan S): $13.85M</li> <li>First Nations (Plan W): NA</li> <li>HIV/AIDs (Plan X): $87.04M</li><li>Assurance (Plan Z): NA</li> </ol><br/>Total: $1,357.4M",,,,,,,,,,,,,,,,1357350000
Property Tax Deferral,PTD,Working-Age,Housing,Government of British Columbia,Self Initiated - Form ,99,Tax deferment is a low interest loan program that helps qualified B.C. homeowners pay their annual property taxes on their principal residence.,"Person with disability or senior or a surviving spouse of any age with minimum 25% equity in home. A homeowner may qualify for the Families with Children program if they are a parent, step-parent, or are financially supporting a child.",,,$253M (amount deferred),"49,212 renewals + 11,394 new applicants",,,,,,,"$240M (amount deferred) for estimated 52,000 renewals + 13,000 new applicants",,,"54,431",,,,,0
Rent Banks,Rent Banks,Working-Age,Housing,Government of British Columbia,Self Initiated - Form ,100,"Rent Banks offers short term funding (loans) available to families and individuals that are at risk of eviction or essential utility disconnection due to a temporary shortage of funds. BC Budget 2019 has proposed $10M funding for a province-wide rent bank. Although Rent Banks may vary, they generally provide money directly to the landlord or utility company. The amount of the loan varies across Rent Banks, but generally depends on family income, family size, monthly (housing) expenses, the ability to repay, and there may be a maximum amount","Low income persons who rent primary residence and are expereincing a temporary, unexpected crisis, and have proof they can repay the loan",Income-tested,,,,,,,,,,$10M ,,,,,,,,10000000
Seniors' Supportive Housing,Seniors' Housing,Senior,Housing,Government of British Columbia,Self Initiated - Form ,101,"The Seniors' Supportive Housing Program provides housing and support services to low income British Columbians who are 55 years of age or older, and people of any age who have a disability or diminished ability. The numbers here exclude the number for Independent Living BC.","Low income person who is either a person with diminished ability or disability, or a senior 55 years +",Income-tested,,$13M,"6,317 units",,,,,,,"$12.8M for 6,452 units",,,,,,,,12800000
Subsidized Rental Housing,Subsidized Rental,Working-Age,Housing,Government of British Columbia,Self Initiated - Form ,102,"Subsidized housing is long-term housing for low income people who permanently reside in British Columbia. Rental fees are calculated on a rent geared to income basis (30% of household total gross income, subject to minimum rent based on # of people). The numbers here are for non-RAP, non-SAFER subsidized housing.",Low Income,Means-tested,,$1M,276 units,,,,,,,"$998,000 over 276 units",,,,,,,,998000
Supportive Housing (for low income adults),Support Housing,Working-Age,Housing,Government of British Columbia,Self Initiated - Form ,103,"Supportive housing is subsidized housing with a range of on-site, non-clinical supports, such as life-skills training, and connections to primary health care, mental health or substance use services.",Low income persons with mental health or substance abuse issues,Income-tested,,$389M,"11,154 units",,,,,,,"$320M for 11,621 units",,,,,,,,320000000
Temporary Assistance,Temporary Assistance,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Self Initiated - Form ,104,The BC Employment and Assistance (BCEA) program is an income and asset tested program that provides income assistance and employment supports to people in need who have no other resources. The program is intended to help move people from income assistance to sustainable employment and to provide income assistance to those who are unable to fully participate in the workforce. ,"Low Income, low assets",Means-tested," <h6>Other Eligibility Requirements by Program:</h6><ol style=""margin-top: -10px;""> <li>Expected-to-Work: 3 week work search</li> <li>Not Expected to Work: single parent with child under 3 or child with medical condition, or persons fleeing abuse,  or cannot legally work in Canada, or persons facing a direct and life-threatening health need or in a continuing care facility (among others, see BCEA Policy Manual for more details);</li> <li>Persons with Persistent and Multiple Barriers to Work: health condition that impedes employment (including an addiction) + an additional barrier to employment such as homelessness, fleeing abuse, former child in care, or criminal record ;</li> <li> Medical Condition: short-term medical condition</li> </ol>","Total: $551.5M <br/>Breakdown: <ul><li>$391M in Entitlements (HA + TA, shelter + support)</li> <li>$146M for Management</li><li>$1.8M to Appeal Tribunal</li><li>$12.7M for Executive Services</li></ul>",,"44,059 (TA + HA)",,,,,,"Total Cost: $595.3M <br/>Breakdown: <ul><li> $424.6M in Entitlements (TA + HA, shelter + support)</li><li> $156M in Management</li><li>$1.8M to Appeal Tribunal</li><li>$12.9M for Executive Services</li></ul>",,,,,,,,595300000
Aboriginal Leadership Opportunities Year,ALOY,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Form,105,"One-year program at RMC designed to provide students of Indigenous heritage with individual, group, and cultural experiences that will help build leadership and life skills.",First nations/aboriginal/inuit,Attend RMC Leadership Program,,,,,,,,,,,,,,,,,,
Allowance for People Aged 60 to 64,Allowance Aged 60 to 64,Senior,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,106,The Allowance is a benefit available to low-income individuals aged 60 to 64 who are the spouse or common-law partner of a Guaranteed Income Supplement (GIS) recipient.,,Income-tested,,,,,,,,,,,,,,"4,637",$2.5M,,,2500000
Allowance for the Survivor,Allowance: Survivor,Senior,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,107,"The Allowance for the Survivor is a benefit available to people aged 60 to 64 who have a low income, who are living in Canada, and whose spouse or common-law partner has died.",,Income-tested,,,,,,,,,,,,,,"2,788",$1.97M,,,1970000
Apprenticeship Completion Grant (ACG),ACG,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Form,108,Taxable cash grant for registered apprentices who successfully complete their program,Completion of journeyman certification,,,,,,,,,,,,,,,,,,,
Apprenticeship Incentive Grant (AIG),AIG ,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Form,109,The Apprenticeship Incentive Grant (AIG) helps you pay for expenses while you train as an apprentice in a designated Red Seal trade.,Enrolled in apprenticeship program,,,,,,,,,,,,,,,,,,,
Apprenticeship Incentive Grant for Women,AIG-W,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Form,110,The Apprenticeship Incentive Grant for Women (AIG-W) helps you pay for expenses while you train as an apprentice in a Designated Red Seal Trade where women are underrepresented.,Women AND Enrolled in apprenticeship program,,,,,,,,,,,,,,,,,,,
Canada Student Grants,Canada Student Grants,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Form,111,The Government of Canada offers student grants and loans to full-time and part-time students. Grants and loans help students pay for their post-secondary education.,,Attending post-secondary,,,,,,,,,,,,,,,,,,
Canada Student Loans,Canada Student Loans,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Form,112,The Government of Canada offers student grants and loans to full-time and part-time students. Grants and loans help students pay for their post-secondary education.,,Attending post-secondary,,,,,,,,,,,,,,,,,,
Canadian Benefit for Parents of Young Victims of Crime,Victims of Crime,Working-Age,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,113,"Parents or legal guardians who have taken time away from work and suffered a loss of income to cope with the death or disappearance of their child or children may be eligible for federal income support of $4,50 per week.","Employed, and reduction in employment earnings, and child was a victim of a crime",,,,,,,,,,,,,,,,,,,
Canadian Forces Disability Benefits,Disability Benefits,Working-Age,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,114,"A disability benefit is a tax-free, financial payment to support your well-being. The amount you receive depends on the degree to which your condition is related to your service (entitlement) and the severity of your condition, including its impact on your quality of life (assessment).",Veteran or Canadian Armed Forces,,,,,,,,,,,,,,,,,,,
Canadian Forces Income Replacement Benefit,Income Replacement,Working-Age,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,115,The Income Replacement Benefit provides income assistance to maintain income while taking part in the VAC rehabilitation program.,"Veteran or Canadian Armed Forces, and diminished or no earnings",Income-tested,,,,,,,,,,,,,,,,,,
Canadian Forces Income Support,Canada Forces Income Support,Working-Age,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,116,"The Canadian Forces Income Support is a tax-free monthly benefit. It helps low-income CAF Veterans who no longer qualify for the Earnings Loss Benefit, after participating in the Rehabilitation program.","Veteran or Canadian Armed Forces, and Low Income",Income-tested,,,,,,,,,,,,,,,,,,
CPP: Children's Benefits,CPP: Children's ,Working-Age,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,117,The Canada Pension Plan (CPP) children's benefits provide monthly payments to the dependent children of disabled or deceased CPP contributors.,Dependent child(ren) AND (deceased contributor OR disabled contributor receiving CPP: Disability Benefit),,,,,,,,,,,,,,,"23,989",$83.5M,,,83500000
CPP: Death Benefit,CPP: Death,Working-Age,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,118,"The Canada Pension Plan (CPP) death benefit is a one-time, lump-sum payment to the estate on behalf of a deceased CPP contributor.",Deceased contributor,,,,,,,,,,,,,,,"3,018",$64.4M,,,64400000
CPP: Disability Benefit,CPP: Disability ,Working-Age,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,119,Canada Pension Plan (CPP) provides disability benefits (disability pension and post-retirement disability benefit) to people who have made enough contributions to the CPP and who are disabled and cannot work at any job on a regular basis. ,Person with long-term disability who cannot work any job on a regular basis AND made enough contributions to CPP during employment,,,,,,,,,,,,,,,"60,147",$757.9M,,,757900000
CPP: Retirement Pension,CPP: Retirement,Senior,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,120,"The Canada Pension Plan (CPP) retirement pension provides a monthly benefit to eligible applicants. Individuals can apply for and receive a full CPP retirement pension at age 65 or receive it as early as age 60 with a reduction, or as late as age 70 with an increase",At least 60 years old AND made at least one valid contribution to CPP from employment in Canada,,,,,,,,,,,,,,,"947,350","$6,437.6M",,,6437600000
